Question,Background Type,Detail Type Id,Detail Title,Detail
,,89,,owns a tiny but cosy hunting cottage
,,89,,has a small apartment paid for [1*10] weeks
,,89,,"rents a room in a house, paid for two weeks"
,,89,,a isolated cottage just outside of town
,,89,,owns a neglected house [in/near] home town
,,89,,has lived with relatives for [1*10] weeks
,,89,,has camped out during the last [1*10] days
,,89,,frequently gets free beers at favourite inn
,,90,Miscellaneous trappings,[2*10] yards of strong rope
,,90,,[1*10] tallow candles
,,90,,A tarnished copper lantern
,,90,,[1*10] sheets of paper
,,90,,"A rather nice, embroidered blanket"
,,90,,A healing draught
,,90,,A pair of ornate (good quality) metal flasks
,,90,,Pewter tankard which is actually an antique
,,90,,[1*10] matches
,,90,,3 treated torches
Who are you loyal to?,Loyalties,91,Is loyal to,each and everyone according to their pay
,,91,,Himself
,,91,,their family; blood and ancestry
,,91,,"their country, a true patriot"
,,91,,their close friends
,,91,,influential allies and people of power
,,91,,the nobility
,,91,,a foreign power
,,91,,a [trading/coaching/mining] company
,,91,,a military
,,92,Is devoted to the,Grand County of Averland
,,92,,Barony of Hochland
,,92,,Grand Duchy of Middenland
,,92,,Barony of Nordland
,,92,,League of Ostermark
,,92,,Grand Principality of Ostland
,,92,,Grand County of Stirland
,,92,,County of Sylvania
,,92,,Grand Duchy of Talabecland
,,92,,County of Wissenland
,,93,Loyal to the trade guild of,Merchants
,,93,,Stevedores
,,93,,Scriveners
,,93,,Carpenter
,,93,,Teamsters
,,93,,Tanner
,,93,,Metalworkers
,,93,,Bookbinders
,,93,,Builders
,,93,,Masons
,,94,Loyal to the local cult of,Verena
,,94,,Ulric
,,94,,Morr
,,94,,Myrmidia
,,94,,Manaan
,,94,,Sigmar
,,94,,Ranald
,,94,,Shallya
,,94,,Taa
,,94,,Rhya
,,95,Once had their trust broken by a,person they believed a faithful friend
,,95,,member of their closest family
,,95,,former employer who never paid
,,95,,Stranger who promised greatness
,,95,,Religious authority in whom they confided
,,95,,Political leader who changed their mind
,,95,,lover who didn’t feel anything after all
,,95,,person they had sworn never to trust again
,,95,,witness who suddenly remembered nothing
,,95,,"colleague, whom had promised a 50-50 split"
,,96,Once betrayed,favoured cult
,,96,,"home province, town or village"
,,96,,close family
,,96,,"employer, colleague or business associate"
,,96,,a good friend
,,96,,"their love, fiancée or spouse"
,,96,,their country
,,96,,someone wanting them to betray someone else
,,96,,the memory of their ancestors
,,96,,"himself: plans for the future, wants, wishes"
,,97,Blackmailed or extorted by,"law agency (Roadwardens, Town Watch)"
,,97,,a merchant with whom they has illicit business
,,97,,a prosperous farmer who saw something
,,97,,a Witch Hunter to look for deviants
,,97,,a Crime Lord for information
,,97,,a lowly fellow who saw something they did
,,97,,a relative or friend using love as leverage
,,97,,a Priest who knows something about his faith
,,97,,a Noble who uses the leverage for fun
,,97,,a foreign power who uses character as spy
,,98,Leadership is,reluctant
,,98,,manipulative and scheming
,,98,,Charismatic
,,98,,physically brutal
,,98,,well-liked
,,98,,Ruthless
,,98,,"purely based on rank (military, noble, other)"
,,98,,secretive and indirect
,,98,,the continuation of character’s parents
,,98,,Nonexistent (weak indeed)
,,99,"If betrayed, character likely",plans and plots in order to have their revenge
,,99,,"attacks right out, verbally and/or physically"
,,99,,"swallows their anger, which festers for ages"
,,99,,spares no means to restore their honour
,,99,,strikes back at betrayer’s family or friends
,,99,,"breaks down, cursing the unfairness of life"
,,99,,has a hard time accepting they've been betrayed
,,99,,accredits all disloyalty to own shortcomings
,,99,,runs and hides (literarily or figuratively)
,,99,,cuddles up with mommy or ole’ teddy
,,100,Fervently disloyal to,[91]
,,100,,[92]
,,100,,[93]
,,100,,[94]
,,100,,[71]
,,100,,Those of the same trade (career)
,,100,,Those of same background
,,100,,Those of other social standing
,,100,,People of the same social class
,,100,,Pretty much everyone…
Who do you love/hate?,Loves & Hates,101,Exceptional fear of,heights
,,101,,open spaces
,,101,,Confined spaces
,,101,,ghosts and undead (and rumours thereof)
,,101,,Outlaws (and being robbed)
,,101,,Failure
,,101,,lightning and thunderstorms
,,101,,darkness
,,101,,"cold, snow & ice"
,,101,,Cultural and social change
,,102,Life taught them to avoid,bogs & marshes
,,102,,burial grounds
,,102,,Crowded streets and squares
,,102,,deep forests
,,102,,lakes and oceans
,,102,,mountains
,,102,,plains and vast open spaces
,,102,,rivers and rapids
,,102,,the outdoors at night
,,102,,"underground locations (cellars, mines)"
,,103,Favourite food,all kinds of fish
,,103,,juicy steaks
,,103,,kidney pie
,,103,,meaty sausages
,,103,,roast lamb
,,103,,mushroom stew
,,103,,fresh salads and fruits
,,103,,foreign cuisine (in general or one specific)
,,103,,pretty much anything spicy and hot
,,103,,never cares about what they eat
,,104,Favourite entertainment,Juggling and similar jests
,,104,,A good fist-fight
,,104,,Public executions & punishments
,,104,,Card games
,,104,,A beer or two with the guys
,,104,,"Going for nature-walks, pick-nicks, camping"
,,104,,Eating out and eating well
,,104,,Storytelling
,,104,,Music (in general or one particular type)
,,104,,Dancing (in general or one particular style)
,,105,Favourite time of year or day,"Revels in winter, snow and cold weather"
,,105,,"Adores first signs of spring (chicks, buds)"
,,105,,Bit of a hibernator–lives for the summer
,,105,,"Storms, foods, smells and colours of autumn"
,,105,,Strangely enticed when Mannslieb is full
,,105,,"Creature of the night, sleeps late"
,,105,,Loves mornings–at least when in bed
,,105,,Worships daylight and basking in the sun
,,105,,"Evenings, when people come together"
,,105,,Loves storms and thunder
,,106,Fascinated by,the mechanics of clocks
,,106,,the engineering behind bridges and domes
,,106,,gun powder and gunpowder weapons
,,106,,"forts, castles and fortifications"
,,106,,siege machinery
,,106,,locks all of kinds
,,106,,"pottery, stoneware and chinaware"
,,106,,book printing
,,106,,"painting (one particular theme, origin, painter)"
,,106,,magic
,,107,Knows to appreciate the,handiwork of good carpenters
,,107,,efforts of skilled masons
,,107,,brains and experience of sharp lawyers
,,107,,zeal and zest of devoted agitators
,,107,,piety of fervent priests
,,107,,precision of capable engineers
,,107,,"labours of bakers, cooks and brewers"
,,107,,precise work of illuminators
,,107,,administrative capabilities of innkeepers
,,107,,"shows of acrobats, jugglers and fire eaters"
,,108,Dislikes an institution,Banks and moneylenders
,,108,,Large merchant houses
,,108,,Organized worship (religious cults)
,,108,,Bureaucracy involved in census
,,108,,Bailiffs and other tax-collectors
,,108,,Trade guilds
,,108,,Professional military or mercenary outfits
,,108,,[Road Wardens/River Wardens/Road & River Wardens]
,,108,,City watch and sheriffs of larger towns
,,108,,Colleges of magic
,,109,Finds inner peace & harmony in,solitude
,,109,,woods and forests
,,109,,"rain, soft and warm if possible"
,,109,,"sunbathing, relies in the sun’s healing effect"
,,109,,sleeping
,,109,,"sunsets, that magic marriage of day and night"
,,109,,drunkenness
,,109,,"bed, preferably not alone"
,,109,,taking long walks alone
,,109,,Meditation
,,110,Loves someone,they have known their entire life
,,110,,"for a few weeks, then finds somebody else"
,,110,,they recently met for one night at an inn
,,110,,who can’t return love due to religious calling
,,110,,"Married, but returning their love at great risk"
,,110,,who they secretly betrothed [1*10] weeks ago
,,110,,they can’t marry until they has saved [1*10x100] gc
,,110,,who is already expecting their heir…
,,110,,who died [1*10] years ago and they can’t let go
,,110,,who hasn’t got a clue
